dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.392509,21.102054,6.135759,6.958267,-1.839495,-12.081672,1.205119
0.020000,10.444723,21.242555,6.285648,7.494461,26.809686,1432.459066,1.212795
0.020000,10.517336,21.426908,6.483785,9.906886,120.621255,4690.578427,1.178248
0.020000,10.595402,21.606574,6.679679,9.794684,-5.610121,-6311.568769,1.143461
0.020000,10.678629,21.781214,6.873136,9.672866,-6.090854,-24.036649,1.108614
0.020000,10.766664,21.950514,7.063957,9.541045,-6.591064,-25.010493,1.073896
0.020000,10.859105,22.114200,7.251942,9.399244,-7.090051,-24.949359,1.039495
0.020000,10.955503,22.272047,7.436898,9.247795,-7.572459,-24.120407,1.005592
0.020000,11.055382,22.423887,7.618642,9.087193,-8.030088,-22.881437,0.972359
0.020000,11.158243,22.569606,7.797008,8.918305,-8.444433,-20.717267,0.939954
0.020000,11.263580,22.709155,7.971850,8.742105,-8.809995,-18.278083,0.908513
0.020000,11.370893,22.842539,8.143044,8.559703,-9.120096,-15.505066,0.878154
0.020000,11.479694,22.969820,8.310491,8.372320,-9.369118,-12.451111,0.848969
0.020000,11.589520,23.091107,8.474113,8.181122,-9.559907,-9.539436,0.821032
0.020000,11.699935,23.206550,8.633858,7.987252,-9.693536,-6.681434,0.794391
0.020000,11.810537,23.316332,8.789694,7.791786,-9.773291,-3.987782,0.769078
0.020000,11.920959,23.420660,8.941607,7.595661,-9.806229,-1.646897,0.745104
0.020000,12.030873,23.519763,9.089601,7.399711,-9.797515,0.435727,0.722466
0.020000,12.139983,23.613878,9.233694,7.204628,-9.754162,2.167618,0.701148
0.020000,12.248031,23.703249,9.373913,7.010982,-9.682260,3.595098,0.681122
0.020000,12.354790,23.788122,9.510298,6.819224,-9.587904,4.717815,0.662354
0.020000,12.460062,23.868737,9.642892,6.629696,-9.476439,5.573269,0.644801
0.020000,12.563679,23.945330,9.771745,6.442649,-9.352346,6.204627,0.628416
0.020000,12.665495,24.018130,9.896910,6.258244,-9.220211,6.606766,0.613150
0.020000,12.765386,24.087352,10.018442,6.076591,-9.082683,6.876387,0.598950
0.020000,12.863248,24.153204,10.136396,5.897738,-8.942631,7.002625,0.585765
0.020000,12.958992,24.215878,10.250830,5.721681,-8.802843,6.989392,0.573541
0.020000,13.052546,24.275558,10.361798,5.548402,-8.663979,6.943200,0.562226
0.020000,13.143847,24.332413,10.469355,5.377836,-8.528259,6.785987,0.551769
0.020000,13.232847,24.386601,10.573553,5.209916,-8.396023,6.611776,0.542120
0.020000,13.319504,24.438268,10.674444,5.044554,-8.268090,6.396666,0.533231
0.020000,13.403787,24.487550,10.772077,4.881652,-8.145127,6.148164,0.525056
0.020000,13.485669,24.534570,10.866499,4.721116,-8.026791,5.916809,0.517550
0.020000,13.565130,24.579444,10.957756,4.562833,-7.914148,5.632142,0.510670
0.020000,13.642156,24.622277,11.045890,4.406713,-7.805981,5.408349,0.504377
0.020000,13.716737,24.663163,11.130943,4.252640,-7.703663,5.115883,0.498631
0.020000,13.788865,24.702192,11.212954,4.100525,-7.605737,4.896311,0.493395
0.020000,13.858537,24.739443,11.291959,3.950269,-7.512839,4.644897,0.488636
0.020000,13.925752,24.774990,11.367994,3.801770,-7.424913,4.396289,0.484318
0.020000,13.990511,24.808897,11.441093,3.654951,-7.340947,4.198333,0.480412
0.020000,14.052817,24.841226,11.511288,3.509717,-7.261693,3.962681,0.476887
0.020000,14.112676,24.872031,11.578608,3.365988,-7.186475,3.760874,0.473714
0.020000,14.170092,24.901361,11.643081,3.223686,-7.115084,3.569557,0.470867
0.020000,14.225073,24.929260,11.704736,3.082734,-7.047635,3.372491,0.468321
0.020000,14.277627,24.955769,11.763597,2.943059,-6.983708,3.196305,0.466051
0.020000,14.327762,24.980924,11.819689,2.804597,-6.923137,3.028570,0.464035
0.020000,14.375488,25.004756,11.873035,2.667276,-6.866034,2.855133,0.462250
