dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.421214,20.511942,6.234483,7.767430,-3.890376,-5.199611,1.199574
0.020000,10.477689,20.654946,6.388234,7.687577,-3.992629,-5.112655,1.189612
0.020000,10.535033,20.795837,6.540348,7.605679,-4.094919,-5.114503,1.178744
0.020000,10.593315,20.934522,6.690782,7.521701,-4.198861,-5.197069,1.167009
0.020000,10.652591,21.070909,6.839494,7.435592,-4.305443,-5.329114,1.154448
0.020000,10.712904,21.204907,6.986439,7.347277,-4.415783,-5.517002,1.141103
0.020000,10.774284,21.336422,7.131572,7.256645,-4.531577,-5.789722,1.127016
0.020000,10.836744,21.465362,7.274844,7.163584,-4.653054,-6.073848,1.112234
0.020000,10.900285,21.591635,7.416203,7.067968,-4.780826,-6.388573,1.096804
0.020000,10.964893,21.715151,7.555596,6.969648,-4.915999,-6.758656,1.080778
0.020000,11.030540,21.835820,7.692966,6.868494,-5.057693,-7.084719,1.064208
0.020000,11.097180,21.953556,7.828253,6.764364,-5.206490,-7.439832,1.047152
0.020000,11.164756,22.068275,7.961396,6.657130,-5.361697,-7.760359,1.029667
0.020000,11.233193,22.179899,8.092330,6.546681,-5.522464,-8.038317,1.011814
0.020000,11.302406,22.288354,8.220988,6.432916,-5.688220,-8.287819,0.993655
0.020000,11.372293,22.393574,8.347303,6.315766,-5.857514,-8.464696,0.975254
0.020000,11.442744,22.495500,8.471207,6.195187,-6.028979,-8.573243,0.956676
0.020000,11.513633,22.594082,8.592630,6.071163,-6.201162,-8.609187,0.937985
0.020000,11.584829,22.689278,8.711505,5.943714,-6.372466,-8.565171,0.919246
0.020000,11.656189,22.781058,8.827762,5.812893,-6.541063,-8.429869,0.900523
0.020000,11.727567,22.869402,8.941338,5.678780,-6.705627,-8.228198,0.881877
0.020000,11.798808,22.954301,9.052168,5.541490,-6.864509,-7.944091,0.863368
0.020000,11.869758,23.035758,9.160191,5.401173,-7.015843,-7.566703,0.845054
0.020000,11.940258,23.113786,9.265351,5.257993,-7.159011,-7.158409,0.826987
0.020000,12.010150,23.188409,9.367594,5.112129,-7.293194,-6.709156,0.809219
0.020000,12.079279,23.259661,9.466870,4.963803,-7.416321,-6.156313,0.791797
0.020000,12.147492,23.327587,9.563134,4.813214,-7.529423,-5.655090,0.774761
0.020000,12.214639,23.392238,9.656346,4.660595,-7.630971,-5.077431,0.758152
